filename,relative_path,vendor,control_id,canonical_field,state,sha256,split,file_key,control_group_key,split_unit,split_path
CTRL-001_PASS.cfg,configs/synthetic/cisco_ios/CTRL-001_PASS.cfg,cisco_ios,CTRL-001,management.ssh.version,PASS,afe1fac80919af481d4c60a50f2b17fa513a364e88ed193dc899400ecf752109,train,cisco_ios::CTRL-001_PASS.cfg,cisco_ios::CTRL-001,PASS-pinned,train/cisco_ios__CTRL-001_PASS.cfg
CTRL-001_FAIL.cfg,configs/synthetic/cisco_ios/CTRL-001_FAIL.cfg,cisco_ios,CTRL-001,management.ssh.version,FAIL,fc8294e8e1ae107dc985ea9e516b365a96b394d8315b0f4b779d2f454760b5a3,validation,cisco_ios::CTRL-001_FAIL.cfg,cisco_ios::CTRL-001,CTRL-001,validation/cisco_ios__CTRL-001_FAIL.cfg
CTRL-001_MISSING.cfg,configs/synthetic/cisco_ios/CTRL-001_MISSING.cfg,cisco_ios,CTRL-001,management.ssh.version,MISSING,4eddc94f2a981e76b4a3fac5936da2e0a9051538aa8429b08ec78ae0859a1181,validation,cisco_ios::CTRL-001_MISSING.cfg,cisco_ios::CTRL-001,CTRL-001,validation/cisco_ios__CTRL-001_MISSING.cfg
CTRL-002_PASS.cfg,configs/synthetic/cisco_ios/CTRL-002_PASS.cfg,cisco_ios,CTRL-002,management.telnet.enabled,PASS,afe1fac80919af481d4c60a50f2b17fa513a364e88ed193dc899400ecf752109,train,cisco_ios::CTRL-002_PASS.cfg,cisco_ios::CTRL-002,PASS-pinned,train/cisco_ios__CTRL-002_PASS.cfg
CTRL-002_FAIL.cfg,configs/synthetic/cisco_ios/CTRL-002_FAIL.cfg,cisco_ios,CTRL-002,management.telnet.enabled,FAIL,ce11b01bb284ca3abb8f1cae37f1585e5abecae15ae178a3c66140bbb9b241fc,train,cisco_ios::CTRL-002_FAIL.cfg,cisco_ios::CTRL-002,CTRL-002,train/cisco_ios__CTRL-002_FAIL.cfg
CTRL-002_MISSING.cfg,configs/synthetic/cisco_ios/CTRL-002_MISSING.cfg,cisco_ios,CTRL-002,management.telnet.enabled,MISSING,17b43d0d654161d6fedbcf07a986d845fffe4e7cdd105f242ef3904f59b6b829,train,cisco_ios::CTRL-002_MISSING.cfg,cisco_ios::CTRL-002,CTRL-002,train/cisco_ios__CTRL-002_MISSING.cfg
CTRL-003_PASS.cfg,configs/synthetic/cisco_ios/CTRL-003_PASS.cfg,cisco_ios,CTRL-003,management.http.enabled,PASS,afe1fac80919af481d4c60a50f2b17fa513a364e88ed193dc899400ecf752109,train,cisco_ios::CTRL-003_PASS.cfg,cisco_ios::CTRL-003,PASS-pinned,train/cisco_ios__CTRL-003_PASS.cfg
CTRL-003_FAIL.cfg,configs/synthetic/cisco_ios/CTRL-003_FAIL.cfg,cisco_ios,CTRL-003,management.http.enabled,FAIL,d987a6ce9d63191c778e583b45c9b1ea9ee7fa88954f1eb1b47960063922fafb,test,cisco_ios::CTRL-003_FAIL.cfg,cisco_ios::CTRL-003,CTRL-003,test/cisco_ios__CTRL-003_FAIL.cfg
CTRL-003_MISSING.cfg,configs/synthetic/cisco_ios/CTRL-003_MISSING.cfg,cisco_ios,CTRL-003,management.http.enabled,MISSING,6e110bb2f62e0d1dbe2e303045b483e7c9c548a6aba2c647a01a1bc357f07626,test,cisco_ios::CTRL-003_MISSING.cfg,cisco_ios::CTRL-003,CTRL-003,test/cisco_ios__CTRL-003_MISSING.cfg
CTRL-004_PASS.cfg,configs/synthetic/cisco_ios/CTRL-004_PASS.cfg,cisco_ios,CTRL-004,management.https.enabled,PASS,afe1fac80919af481d4c60a50f2b17fa513a364e88ed193dc899400ecf752109,train,cisco_ios::CTRL-004_PASS.cfg,cisco_ios::CTRL-004,PASS-pinned,train/cisco_ios__CTRL-004_PASS.cfg
